text,normalized_text,lable,result
"@lizzmcnamara I want, please. Send some down to KY. Kthxbye. ", i want please send some down to ky kthxbye ,0,1
I think it's official. I've ran outta things to talk about on here. ,i think it is official i have ran outta things to talk about on here ,1,0
@ShystieUK aww ty 4 replyin its like woo lmao im l by luved the best female mc get in there i wnt b online 4 a while after 2nite  xx, aww ty  replyin its like woo lmao im l by luved the best female mc get in there i wnt b online  a while after nite  xx,1,0
"i'm loosing followers  i guess i just need to start talking about #hoppusday, the #swineflu, or #Kelloggs!??!",i am loosing followers  i guess i just need to start talking about hoppusday the swineflu or kelloggs,1,0
just to feel good again.... ,just to feel good again ,1,0
happy fathers day to everyone! I love my daddy! now off forcefully to church  lol!,happy fathers day to everyone i love my daddy now off forcefully to church  lol,1,0
"watched a gorgous movie yesterday, surprising sad, at 1 am, surprisingly Elijah Wood played in that movie ",watched a gorgous movie yesterday surprising sad at  am surprisingly elijah wood played in that movie ,0,1
1 hour of block timetable left today  dnt go bk till Wednesday, hour of block timetable left today  dnt go bk till wednesday,0,1
has anyone seen my book Wedding Belles in the stores? need to take it up with Random House... where's all the promotional hoopla? ,has anyone seen my book wedding belles in the stores need to take it up with random house where is all the promotional hoopla ,1,0
i think my mum's gonna let me join spcrew. ,i think my mums gonna let me join spcrew ,0,1
@MusicxisxLifex8  I HELP YOU STUDY, i help you study,1,0
I hate it when he leaves until I remember that I will see him again tomorrow ,i hate it when he leaves until i remember that i will see him again tomorrow ,0,1
"@codepo8  people often wonder what the writers were smoking to make such a lousy plot. For T4 they had nothing to smoke, hence the result", people often wonder what the writers were smoking to make such a lousy plot for t they had nothing to smoke hence the result,0,1
@iamjonathancook WHY?  p.s. I can't wait til July 7th when FTSK D3LUX3 3D1T10N COMES OUTTTT!!!  â¥, why  ps i cannot wait til july th when ftsk dlux dtn comes outttt  ,1,0
"My county allows you to pay your tickets online... very convenient for an inconvenience. Out $150 for speeding 2 months ago, though ",my county allows you to pay your tickets online very convenient for an inconvenience out  for speeding  months ago though ,1,0
@KlownDogg well i'm poor too...saving up for my summer  i will see what i can do, well i am poor toosaving up for my summer  i will see what i can do,0,1
Layin around the house seeing as i can't walk ,layin around the house seeing as i cannot walk ,1,0
In bed now can't sleep but the good news is five nights down only ONE more to go ,in bed now cannot sleep but the good news is five nights down only one more to go ,0,1
is STILL in the costume shop doing fittings... since 10am!  FML.,is still in the costume shop doing fittings since am  fml,1,0
Back to an early morning schedule  bossa music for smooth transfers lol,back to an early morning schedule  bossa music for smooth transfers lol,1,0
@R1CC1 i'm still awake actually lol... i can't sleep , i am still awake actually lol i cannot sleep ,1,0
@kiannabanks i used to have long hair   lol, i used to have long hair   lol,1,0
@jordanknight if this was already asked sorry  was he a singer, if this was already asked sorry  was he a singer,0,1
parrrty    Ear porn: System of a Down,parrrty    ear porn system of a down,0,1
"@chelsea_doll It was totally expected, but wait to see what unfolds and further complicates that love triangle ", it was totally expected but wait to see what unfolds and further complicates that love triangle ,0,1
"@dorkierthanyou oh no, i'm saying some people have sad days.  Just saying a general fact ", oh no i am saying some people have sad days  just saying a general fact ,0,1
"@murries Mine is 'Thunderstorm in the Wilderness', does yours have heavy rain? We must make copies and swap sometime! ", mine is thunderstorm in the wilderness does yours have heavy rain we must make copies and swap sometime ,0,1
@astynes I luffs spicey food. , i luffs spicey food ,0,1
"back to technology after 24 h with no internet and no mobile phones on top of Tai Mountain, now eating gingko biloba and aloe vera ",back to technology after  h with no internet and no mobile phones on top of tai mountain now eating gingko biloba and aloe vera ,0,1
My last real night with josh  then its the train a weej at the college and then gone for the summer,my last real night with josh  then its the train a weej at the college and then gone for the summer,1,0
"@tprncss yeah, me too! where is he?  and conan in LA is a little weird, he belongs in new york. i'll cope though.", yeah me too where is he  and conan in la is a little weird he belongs in new york i will cope though,1,0
@jordanknight http://twitpic.com/6tijy - Awwwwww!!!!   You look so happy!  Also looks like that dude-hand is poking you in the chest.  ,  awwwwww   you look so happy  also looks like that dudehand is poking you in the chest  ,0,1
@Pippi43 jules your non picture is making me laugh....what happened!?! you're an 'x'  , jules your non picture is making me laughwhat happened you are an x  ,1,0
"Walking home from school, it has been okay actually its just the whole school routine that I jate. Got a Science GCSE exam tomorrow! ",walking home from school it has been okay actually its just the whole school routine that i jate got a science gcse exam tomorrow ,1,0
one more reminder......IM GOING TO SEE PINK!!!!!!!!!!!!!!!! ,one more reminderim going to see pink ,0,1
@BarryJI am fed up of these signs of economic recovery  The Financial Times trips over itself dreaming up contradictory messages , am fed up of these signs of economic recovery  the financial times trips over itself dreaming up contradictory messages ,0,1
Long weekend bc Monday is a bank holiday!! Us bank of America bill collectors are off!!!! ,long weekend bc monday is a bank holiday us bank of america bill collectors are off ,0,1
Messing with Facebook. ,messing with facebook ,0,1
My mum has got  S.O.S blaring out of her Ipod speakers. ILY mium ,my mum has got  sos blaring out of her ipod speakers ily mium ,0,1
@MissxMarisa hey haven't spoken in AGES  xx, hey have not spoken in ages  xx,1,0
counting the blisters on my feet OUCH...was worth it tho. We had a great time. Time to head home now ,counting the blisters on my feet ouchwas worth it tho we had a great time time to head home now ,1,0
"@mousiepoynter hey hey hey!!! im good thanks! you? had german reading today, mucked that up!! oh wel! you werent in yesterday?  ly Xx", hey hey hey im good thanks you had german reading today mucked that up oh wel you werent in yesterday  ly xx,0,1
Yay I have finally finished with that horrible book. One day ahead of schedule ,yay i have finally finished with that horrible book one day ahead of schedule ,0,1
@lauraEchilds , ,1,0
@asphyxia05 uhmm. noo. i dont watch starwars. haha. , uhmm noo i dont watch starwars haha ,0,1
@bitterpurl yeah  it was half yards of fabric $30 worth for yarn , yeah  it was half yards of fabric  worth for yarn ,1,0
getting ready to take that flight to Cuba!  tropical climates here i come ,getting ready to take that flight to cuba  tropical climates here i come ,0,1
Forgot Emily's BiPAP mask. Had to leave church early to get it. It happens. Time a Pho Mother's Day lunch ,forgot emilys bipap mask had to leave church early to get it it happens time a pho mothers day lunch ,0,1
"Well, yours are nice anyways ",well yours are nice anyways ,1,0
snuggling with james &amp; falling asleep  why can't all of summer be like this?,snuggling with james amp falling asleep  why cannot all of summer be like this,0,1
Mama's home! I missed her. ,mamas home i missed her ,0,1
Just sat on my dog ,just sat on my dog ,1,0
@Alysiaisgay what he doesn't know won't hurt him. , what he does not know will not hurt him ,0,1
I had one of those nights of sleep where you basically feel like you were awake all night. Thankfully I don't really feel all that tired. ,i had one of those nights of sleep where you basically feel like you were awake all night thankfully i do not really feel all that tired ,0,1
Why does a late night work-out always make me want to stay up REALLY late and draw/paint??? ,why does a late night workout always make me want to stay up really late and drawpaint ,0,1
O__O mcdonalds...doesnt have orange juice in a cup anymore...only bottled oj...whaaattt i *loved* their oj!! ,o__o mcdonaldsdoesnt have orange juice in a cup anymoreonly bottled ojwhaaattt i loved their oj ,1,0
i wish that parental control wasnt so fake  but its entertaining!,i wish that parental control wasnt so fake  but its entertaining,1,0
"goodnight Fellow Tweeters...  get ready for, yet another, Monday  ",goodnight fellow tweeters  get ready for yet another monday  ,1,0
@MussoMitchel  awww I LOVE MITCHEL MUSSO ! , awww i love mitchel musso  ,0,1
Feelin' good this morning ,feelin good this morning ,0,1
"@tswizz Trying to wake up ppl ;) Yes! No? Maybe? I tried to reach ALL QC Cubies, 1by1 but no response, or no links at all! So, let's race ", trying to wake up ppl  yes no maybe i tried to reach all qc cubies by but no response or no links at all so let us race ,0,1
@DJPSI jus give it to me , jus give it to me ,0,1
@3thbi 3asa ma shar bro? , asa ma shar bro ,1,0
My Bloody Valentine was great!  Reminded me of watching it every Saturday on USA while growing up.  Missed the hot dog scene though ,my bloody valentine was great  reminded me of watching it every saturday on usa while growing up  missed the hot dog scene though ,1,0
@arkbites1  This is turning out to be a great game. Tomorrow holds promise!, this is turning out to be a great game tomorrow holds promise,1,0
My gorgeous boy playing with his musical toy- 10 wks old today!  http://twitpic.com/4eeth,my gorgeous boy playing with his musical toy  wks old today  ,0,1
@ashieldsss i have no ideaaaa ugh   just a littttle tiny hint before you take it!, i have no ideaaaa ugh   just a littttle tiny hint before you take it,1,0
http://twitpic.com/6u9yi - I got this sundress last night... And didn't realize til now that there are pink pot leaves on it! ,  i got this sundress last night and did not realize til now that there are pink pot leaves on it ,1,0
@BestEverYOU what would? Steve , what would steve ,0,1
@kspidel wish I was there too! everyone asleep. I'm having a beer with the cat , wish i was there too everyone asleep i am having a beer with the cat ,0,1
@anthonyamor hey anthony i hope you wore the apron haha. we couldnt wait for the guys last night we got kicked out  left the nfg tour now, hey anthony i hope you wore the apron haha we couldnt wait for the guys last night we got kicked out  left the nfg tour now,1,0
@warriorwoman25:  LOL.. Have to thank her.  She was so naturally kind when she turned and waved.  Can't reach Stacey from Indy. ,   lol have to thank her  she was so naturally kind when she turned and waved  cannot reach stacey from indy ,1,0
- THE MOMENT OF TRUTH! I need a very large YES! , the moment of truth i need a very large yes ,1,0
"@GentleSinner guy?! Oh la la! Details, please. Yes, I realised that I was being very stroppy and tired-ey. Tis fixed now ", guy oh la la details please yes i realised that i was being very stroppy and tiredey tis fixed now ,0,1
Tjeck out my facebook fanpage!  http://www.djdenz.eu,tjeck out my facebook fanpage  ,0,1
@PaulBrodersen one more day.  , one more day  ,1,0
"playing marco polo at the pool, aint life grand ",playing marco polo at the pool aint life grand ,0,1
"YOGAA IN THE AM !  Back onn my grindddddd  theres nothing like yoga in a 107 degree room first ting in the morning, you feel thin all day!",yogaa in the am   back onn my grindddddd  theres nothing like yoga in a  degree room first ting in the morning you feel thin all day,0,1
first day of working in a hospital.. was about the most amazing thing I've ever done ,first day of working in a hospital was about the most amazing thing i have ever done ,0,1
"Fucking eh, my throat is killa rn my knee has a gigantic bruise and my back is achin  so worth it",fucking eh my throat is killa rn my knee has a gigantic bruise and my back is achin  so worth it,0,1
"@ADrunkReaper As long as i have enought for the new iPhone, i'm set. I wanna buy a new mac however! ", as long as i have enought for the new iphone i am set i wanna buy a new mac however ,1,0
only two days left in new yiddy ,only two days left in new yiddy ,1,0
Jus wokeee up ,jus wokeee up ,0,1
My car is getting spoiled!  she totally deserved it!,my car is getting spoiled  she totally deserved it,0,1
No Work Till Monday ,no work till monday ,0,1
@AidaC whatchu gonna do about it? , whatchu gonna do about it ,0,1
stop twittering and going to study again !! ,stop twittering and going to study again  ,0,1
Someones burning!!!!  I see smoke ,someones burning  i see smoke ,0,1
@marcia724 well its already kinda hot. i can't imagine being an animal with those fur coats year round , well its already kinda hot i cannot imagine being an animal with those fur coats year round ,1,0
When things are back on track I'm gone  far far away ,when things are back on track i am gone  far far away ,0,1
@lozzaybaybay awwwhh i wanna go driving. have fun  xx, awwwhh i wanna go driving have fun  xx,0,1
"It's late and tomorrow is school, so I have to go to my bed now!  good night, sweet dreams and sleep well my cute honeys &lt;333 *kisses*",it is late and tomorrow is school so i have to go to my bed now  good night sweet dreams and sleep well my cute honeys lt kisses,0,1
getting ready 2 watch mental ,getting ready  watch mental ,0,1
On the phone to a depressed little girl  love her to bits though  xxxxx,on the phone to a depressed little girl  love her to bits though  xxxxx,0,1
TMI: Watching pr0n where multiple M2F TSes take on one GG... is TEH HAWT ,tmi watching prn where multiple mf tses take on one gg is teh hawt ,0,1
Watching The Bachelorette...I hope she sends Wes &amp; Tanner home!! Wes is a &quot;playa&quot; &amp; Tanner's foot fetish is obsessive &amp; creepy!...haha ,watching the bachelorettei hope she sends wes amp tanner home wes is a quotplayaquot amp tanners foot fetish is obsessive amp creepyhaha ,0,1
"ahhhhhhh... man, i need some. lol sike naw. going to bedd now! ",ahhhhhhh man i need some lol sike naw going to bedd now ,0,1
"Baby Seahorses yesterday morning - week early. Were doing real well till I left for the day, airhose turned off, all sifocated. ",baby seahorses yesterday morning  week early were doing real well till i left for the day airhose turned off all sifocated ,1,0
"itunes shuffle, you were so perfect before, playing all brighten. what happened? ",itunes shuffle you were so perfect before playing all brighten what happened ,1,0
got woken up and kicked outta the house  (Y),got woken up and kicked outta the house  y,0,1
"Oh cant believe its been so long since I last listened to Imogen Heap, Bring on her new album ",oh cant believe its been so long since i last listened to imogen heap bring on her new album ,0,1
@dannykurily  hope you fell better soon.., hope you fell better soon,1,0
nothing soo board some body make me happy ,nothing soo board some body make me happy ,1,0
change of plans tonite  x,change of plans tonite  x,1,0
I'm always in school everytime Tom tweets  @TomFelton Please tweet in the afternoon (in England time) (((((,i am always in school everytime tom tweets please tweet in the afternoon in england time ,1,0
"@ska_o_licious I was on that shit for a whole year, I know how hard it can be  Seriously if you wanna talk I'm here", i was on that shit for a whole year i know how hard it can be  seriously if you wanna talk i am here,1,0
i will fail chem test tomorrow. meh atleast i don't have to go to weights anymore ,i will fail chem test tomorrow meh atleast i do not have to go to weights anymore ,0,1
@vgreene1 I would be mad to if I had to work with those damaged nails! , i would be mad to if i had to work with those damaged nails ,0,1
"another wonderfully sunny, POLLEN FILLED morning ",another wonderfully sunny pollen filled morning ,1,0
@ehljay nice headshot. HAHAH. on the 24th pa  , nice headshot hahah on the th pa  ,1,0
Found a room!!! Yay!!!! I have to do a later check in tho.... ,found a room yay i have to do a later check in tho ,1,0
"@paosayswhat unseen by me (and i also happen to be unseen) , that is  ", unseen by me and i also happen to be unseen  that is  ,1,0
It's HOT as Hell here in Calcutta ,it is hot as hell here in calcutta ,1,0
@shoonuff_1 lol! i lost mine...have no idea how , lol i lost minehave no idea how ,0,1
#fuqtwitter &amp; #ohnotheydidnt both are gone on the trending topics? unbelievable!!! someone did something... ,fuqtwitter amp ohnotheydidnt both are gone on the trending topics unbelievable someone did something ,0,1
@margaretelaine Yeah for real  I'm pretty sure it's going to last till Monday. I'll end up at the doctors haha, yeah for real  i am pretty sure it is going to last till monday i will end up at the doctors haha,1,0
"Enjoying a day of doing NOTHING  Not even crafting...but I will carve some rubberstamps later...I guess, I will do...not sure about it",enjoying a day of doing nothing  not even craftingbut i will carve some rubberstamps lateri guess i will donot sure about it,0,1
"Hmm, spot the ex-BBC subtitler getting huffy. ",hmm spot the exbbc subtitler getting huffy ,0,1
@jamieoflove Bret should feel bad! , bret should feel bad ,0,1
Good Morning  a little nervous for this AM this is prob going to hurt a little ha ha,good morning  a little nervous for this am this is prob going to hurt a little ha ha,0,1
Knetz are the ones who are stupid lmfao. Bom never did drugs so of course blackjacks will defend her to their graves. How fucking stupid can yall knetz get honestly like how many times do yall need to get told that those were PRESCRIBED MEDICINE FOR HER DEPRESSION,knetz are the ones who are stupid lmfao bom never did drugs so of course blackjacks will defend her to their graves how fucking stupid can yall knetz get honestly like how many times do yall need to get told that those were prescribed medicine for her depression,1,0
@siamusic  as long as you have someone to make out with    lol, as long as you have someone to make out with    lol,1,0
@becdon , ,1,0
if I don't hear your songs I would be a crazier ,if i do not hear your songs i would be a crazier ,0,1
@kirstysmac I can't hear anything , i cannot hear anything ,0,1
@sha2s damnit. you're reading my blog too? [**] malu.. i'm guessing you're online now! you're replying so fast lor! , damnit you are reading my blog too [] malu i am guessing you are online now you are replying so fast lor ,0,1
Two and half days of school left!! I can't believe it ,two and half days of school left i cannot believe it ,0,1
back to the grind....ugh! Atleast it is a short work week for me ,back to the grindugh atleast it is a short work week for me ,0,1
@Geekwife Me too   Now all I need are the rest of the #flyinglushes to find their way back here - I'm thinking its TINI TIME!!!!, me too   now all i need are the rest of the flyinglushes to find their way back here  i am thinking its tini time,0,1
@hellivina @IHOPness g'knight lovely ladies. i'm sleepy now ,  gknight lovely ladies i am sleepy now ,1,0
@AmandaFClark the ties   http://twitpic.com/55ewu, the ties   ,0,1
@BR_Wheeler me too except mine is a 360 , me too except mine is a  ,1,0
haven't been on here in foreverrr ,have not been on here in foreverrr ,1,0
i am the WPITG! ,i am the wpitg ,1,0
"@Jason_Manford how caring of him ,whats wrong with some people always thinking of themselves ", how caring of him whats wrong with some people always thinking of themselves ,1,0
@Snookk Seriously. I'd text you all day if it didn't 1. cost money and 2. require so much more effort typing on a phone pad. , seriously i would text you all day if it did not  cost money and  require so much more effort typing on a phone pad ,1,0
@riskykymber lol ik. That's still foreva though , lol ik that is still foreva though ,1,0
GoodMorning Everyone...*grabs ANY caffine drink* I'm good...not I dno't have one yet  @cenarkogal02 give me hot teacher lmao,goodmorning everyonegrabs any caffine drink i am goodnot i dnot have one yet give me hot teacher lmao,1,0
@tommcfly , ,1,0
"my low blood pressure almost ruined it, but i had a looot of fun today ",my low blood pressure almost ruined it but i had a looot of fun today ,0,1
@wtcc everything is going to be okay... its only one more day  #b0xxy, everything is going to be okay its only one more day  bxxy,1,0
Long line at the apple store ,long line at the apple store ,1,0
@emmakatiee noo i've been doing photography since 3 but im going to do that later tonight  i just need to get my scanner working x, noo i have been doing photography since  but im going to do that later tonight  i just need to get my scanner working x,0,1
3 meetings done - can I go home yet? , meetings done  can i go home yet ,0,1
I'm the modern day equivalent of Humpty Dumpty. ,i am the modern day equivalent of humpty dumpty ,1,0
"my mom just called me a whale ,  diet anyone, I wanna go work the fuckk out",my mom just called me a whale   diet anyone i wanna go work the fuckk out,1,0
@idangazit Now that's just mean , now that is just mean ,0,1
@liljjdagreat oh shit jj speak back  cheese like a bitch  wowwwwwww ..., oh shit jj speak back  cheese like a bitch  wowwwwwww ,0,1
Also saw the new wolverine movie last night. WTF @ Deadpool. ,also saw the new wolverine movie last night wtf deadpool ,1,0
"@ItsRainingWit Hey, you missed a NY relative! No one invited me...   have fun!", hey you missed a ny relative no one invited me   have fun,0,1
.. I just want to lie next to you.. feel your heart beat with mine and be happy again.. can we do that? , i just want to lie next to you feel your heart beat with mine and be happy again can we do that ,1,0
"No longer using myspace, i give up.. so for now it's just facebook n twitter ",no longer using myspace i give up so for now it is just facebook n twitter ,0,1
I write a paragraph I get 2 lines back! ,i write a paragraph i get  lines back ,1,0
"@KevinBiznet must have video, find @charliecurve ", must have video find ,0,1
"@AAKB220 I agree.. someone I thought was a great friend listed several others and not me  but you'd definitely make mine, I am not doingit", i agree someone i thought was a great friend listed several others and not me  but you had definitely make mine i am not doingit,1,0
@cmaecy uhmm... no exact date yet  i'm still not done printing the awesome pics LOL..., uhmm no exact date yet  i am still not done printing the awesome pics lol,0,1
i'm definately like this weather ,i am definately like this weather ,0,1
@lucasartsgames Star Wars Battlefront III.... as if.... as if , star wars battlefront iii as if as if ,1,0
getting ready to watch the MTV Movie Awards!! Oh My GAWSH less then an hour!! ,getting ready to watch the mtv movie awards oh my gawsh less then an hour ,0,1
@lexa6636  same here it's to hot I'm my house !! ;(, same here it is to hot i am my house  ,1,0
Last day of vacation   Heading to ride roller coasters at Darien Lake with the guys!,last day of vacation   heading to ride roller coasters at darien lake with the guys,1,0
http://twitpic.com/7mlzk - Please help find my friend's puppy!  (via @AmandaWilcher),  please help find my friends puppy  via ,1,0
is transferring PixelApnea on another host ,is transferring pixelapnea on another host ,0,1
@Brandswag &lt;~~~Outstanding #FF choices! Thx  @k8dt @mrbogari @SJRod @30dp @myworldofk @Idjd @knarfny @saranyan @vinceparker @dottibailey, ltoutstanding ff choices thx          ,0,1
@Freedom7Fighter  100% agree.....,  agree,1,0
@xoHerbieox y did he agree2that? missed weeks! cause the tweetflood they created during my off time , y did he agreethat missed weeks cause the tweetflood they created during my off time ,1,0
@alexandermcnabb That's what I've been saying.    (RE: Audio feed)  #140conf, that is what i have been saying    re audio feed  conf,1,0
Whomever I choose to hire to be my passenger on these long drives has 1 requirement- finger me the whole time. Now accepting applications ,whomever i choose to hire to be my passenger on these long drives has  requirement finger me the whole time now accepting applications ,0,1
The hottest love has the coldest end ,the hottest love has the coldest end ,1,0
"hahaha,, thx, dolly.  @calosa Workin' 9 to 5, what a way to make a living - Dolly Parton",hahaha thx dolly workin  to  what a way to make a living  dolly parton,1,0
guess who bought liverpool tics. me! ,guess who bought liverpool tics me ,0,1
Going to sleep now i gotta get up early tomorrow to go workout  Hope i dont get to soar I have a party to go to tomorrow ,going to sleep now i gotta get up early tomorrow to go workout  hope i dont get to soar i have a party to go to tomorrow ,0,1
@itsmadison go , go ,0,1
"Bored. Talk to me  if you please... Watchin Kendra, iguess.",bored talk to me  if you please watchin kendra iguess,0,1
CONFUSED!!! idk wat im doing!! haha ,confused idk wat im doing haha ,0,1
downloading the battlefield 1.41 patch as i just found out its required for project reality ,downloading the battlefield  patch as i just found out its required for project reality ,1,0
I need to go. i'l be right back ,i need to go il be right back ,0,1
@lucymfel That looks great...wish I could make it. , that looks greatwish i could make it ,1,0
go red wings!   ,go red wings   ,0,1
The reason that I'm ill. Guanabana &amp; Fruit Nuggets. More the Guanabana though.  http://tinyurl.com/qg2fxf,the reason that i am ill guanabana amp fruit nuggets more the guanabana though  ,1,0
"Gotta get ready to run to post office, to the store, and going to OB appt. with daughter today having another sonogram.... ",gotta get ready to run to post office to the store and going to ob appt with daughter today having another sonogram ,0,1
@unclejunebugg , ,1,0
I counted my coins but remembered i own my mom and sister money  byebye hour of hard work (counting coinns).,i counted my coins but remembered i own my mom and sister money  byebye hour of hard work counting coinns,1,0
JUNIORS JUST DOMINATED AT POWDERPUFF!!  &quot;1-0..you know!&quot;,juniors just dominated at powderpuff  quotyou knowquot,0,1
"i don't know what you came to do, i came to drop the funk on you ",i do not know what you came to do i came to drop the funk on you ,0,1
@middleclassgirl mmhmm I agree.. anything closed toe  the fishnets get so stretched at the toe, mmhmm i agree anything closed toe  the fishnets get so stretched at the toe,0,1
"Systems still down at work, who cares anyway ",systems still down at work who cares anyway ,0,1
@sopranokoala great weekend; 1 no food 2 no food 3 starving by Sunday evening 4 hospital visit 5 eat like there's no tuesday! , great weekend  no food  no food  starving by sunday evening  hospital visit  eat like there is no tuesday ,0,1
"@AudioBooksGuy Thanks John.  I use to fly professionally, but 12 hour shift has more effect than it use to ", thanks john  i use to fly professionally but  hour shift has more effect than it use to ,0,1
@yvonneisyvonne Curiousity killed the cat. , curiousity killed the cat ,0,1
@EFCuttin That unfortunately isn't surprising - any iCoonery details? , that unfortunately is not surprising  any icoonery details ,0,1
@sabeeh90 where are your seats?? I'm in section 112. , where are your seats i am in section  ,0,1
@AlyssaDiaz95 Yeahh... But who cares? , yeahh but who cares ,0,1
@newscientist @BaddieDaywin @schmids333 @Capt_depression Not really. Actually poor ad hominem to try and discredit one's stance because they share thoughts and opinions outside of their realms.,    not really actually poor ad hominem to try and discredit ones stance because they share thoughts and opinions outside of their realms,1,0
"@infinitecrush i did haha  but i'm not completely sold yet, idk. you can do so much more now and it's a bit frightening tbh.", i did haha  but i am not completely sold yet idk you can do so much more now and it is a bit frightening tbh,0,1
@Jayskills ...I'm up early every morning , i am up early every morning ,1,0
@HoldTheGluten thank you so much!  #CGFT, thank you so much  cgft,0,1
Stilll at Yankees game....Rays up one run  bottom of the 8thh,stilll at yankees gamerays up one run  bottom of the thh,0,1
@yessenia Missed you guys too.  Fill me in tomorrow on the message., missed you guys too  fill me in tomorrow on the message,1,0
"@officialTila You have to know who to be nice to. 90% of ppl will take advantage, even if its not on purpose ", you have to know who to be nice to  of ppl will take advantage even if its not on purpose ,1,0
Watching Dead Set on the way to work. Watching zombies being decapitated really makes no-one want to sit next to you on the bus. ,watching dead set on the way to work watching zombies being decapitated really makes noone want to sit next to you on the bus ,0,1
No one here. Hope it's because I'm early because ,no one here hope it is because i am early because ,1,0
"@eviljonasbros ahh, Joe appeared in my dreams today  hahahaha", ahh joe appeared in my dreams today  hahahaha,1,0
5 hours till my next exam. Ugh..wish me luck again! 6pm... , hours till my next exam ughwish me luck again pm ,1,0
"@annieonline not just run, but race. Was beat the bridge. I think I was crazy. ", not just run but race was beat the bridge i think i was crazy ,0,1
@LoveMyPoodles  I am treasuring every moment he is here with us , i am treasuring every moment he is here with us ,0,1
"Home from UK, with post holiday blues and waking up at 4:30am every day ",home from uk with post holiday blues and waking up at am every day ,1,0
@carolcrash ate my food.  hahaha., ate my food  hahaha,1,0
@elfreakz i'm recovering from headache too. it's exam week. i have to be in the best condition , i am recovering from headache too it is exam week i have to be in the best condition ,0,1
@Paul_Rice - EVERYTHING kills the battery though mate. A sacrifice I'm willing to make at the moment ,  everything kills the battery though mate a sacrifice i am willing to make at the moment ,0,1
"::its like one step forward and two steps back, and baby im startin to see; maybe we're not meant to be::single in oklahoma  with the  ...",its like one step forward and two steps back and baby im startin to see maybe we are not meant to besingle in oklahoma  with the  ,0,1
@OtaliaRocks  hey what about me? Ah nvm. , hey what about me ah nvm ,0,1
okay. now. im offf. ,okay now im offf ,0,1
@Dallgirls it's too late to be dancing! Go to bed woman! , it is too late to be dancing go to bed woman ,0,1
Just tried oysters for the first time...not a fan ,just tried oysters for the first timenot a fan ,1,0
"@kim_dacelebrity if I didn't have a party here next week, I woulda been in NYC for Sneaker Pimps this comin Friday... ", if i did not have a party here next week i woulda been in nyc for sneaker pimps this comin friday ,1,0
just finished health project  bout to hit the hay,just finished health project  bout to hit the hay,0,1
@Shadez LOL sad. Don't you have an emergency stock hidden in your cupboard? I have one  ., lol sad do not you have an emergency stock hidden in your cupboard i have one  ,0,1
"@_thalita_ aah saudade de vocÃª, thalits! ", aah saudade de voc thalits ,1,0
@beautiful_alone so much!  xo, so much  xo,0,1
My fish is in fish heaven now ,my fish is in fish heaven now ,1,0
@_Angeline_  Did you kill it?  Its a cute mouse , did you kill it  its a cute mouse ,1,0
@FrankieGross. Giiiirl!!! There u go again- jet settin w/o me!!!   u better bring me nxt time!!!!, giiiirl there u go again jet settin wo me   u better bring me nxt time,1,0
@Shakey_AMG nahhh not even  i b workin early so u know wen i get home its a done deal lol, nahhh not even  i b workin early so u know wen i get home its a done deal lol,1,0
"@sarking I like the woman at the helm even better! Make love, not wank, Trekkies. ", i like the woman at the helm even better make love not wank trekkies ,1,0
I have a lot more money than I thought. I just paid off the rest of my credit cards and joined AAA ,i have a lot more money than i thought i just paid off the rest of my credit cards and joined aaa ,0,1
@meeshly guess? (hint: wine cellars don't ask me for my ID anymore) , guess hint wine cellars do not ask me for my id anymore ,0,1
English online resit exam today 1.00pm wish me good luck! ,english online resit exam today pm wish me good luck ,0,1
"@davidjpnorman Thanks dude. It isn't, but thank-you... cancer is a*swear* fucking menace. Have a good weathery day :o) is good here, too ", thanks dude it is not but thankyou cancer is aswear fucking menace have a good weathery day o is good here too ,0,1
Re-did my myspace page. Comment me leaving opinions! Working on blogs tomorrow ,redid my myspace page comment me leaving opinions working on blogs tomorrow ,0,1
@luffsophie you're wearing it tomoorw!? God idk what to wear , you are wearing it tomoorw god idk what to wear ,1,0
"@jsgreyhoundgirl that's not an answer. in fact, the only answer i think i'll understand is, &quot;yes&quot; ", that is not an answer in fact the only answer i think i will understand is quotyesquot ,0,1
woaaah my background just changes constantlyy ,woaaah my background just changes constantlyy ,0,1
@scottmliddell mine was less than half than it usually is when in #Delhi , mine was less than half than it usually is when in delhi ,0,1
Is crushin' hard!!!!!!!!!!!!!!!! ,is crushin hard ,0,1
"wow, I'm dumb. My 2.2ghz E4500 has been running at 1.2ghz for who knows how long.  CRANK IT UP!",wow i am dumb my ghz e has been running at ghz for who knows how long  crank it up,1,0
going home in a few. ,going home in a few ,0,1
@Cobras_Stoney: Allright! Argh. She told me yesterday about that party ! .-. I know I'm stupid ,  allright argh she told me yesterday about that party   i know i am stupid ,0,1
morning tweeps  phoned work and changed shift to back shift 2day still a lil ill,morning tweeps  phoned work and changed shift to back shift day still a lil ill,0,1
"loving twitter! Bit bored at the moment though, and a little bit sick of reading about fusion cell cloning! ",loving twitter bit bored at the moment though and a little bit sick of reading about fusion cell cloning ,1,0
"yes, my twitter bio says kitty poop. oddly enough my kitty keeps pooping everywhere  maybe if i change it he will stop?",yes my twitter bio says kitty poop oddly enough my kitty keeps pooping everywhere  maybe if i change it he will stop,1,0
good morning. i think i'm coming down with a cold...  GREAT timing.,good morning i think i am coming down with a cold  great timing,1,0
